harbor_name,geometry
Hobro Havn,0103000020E610000001000000060000000C022B8716992340A8C64B3789514C400C022B87169923402123A0C211524C4004560E2DB29D23402123A0C211524C4004560E2DB29D2340A8C64B3789514C40984C158C4A9A2340A8C64B3789514C400C022B8716992340A8C64B3789514C40
Randers,0103000020E610000001000000060000006EA301BC05222440EE42739D463A4C40306475ABE7142440EE42739D463A4C40306475ABE714244096218E75713B4C406EA301BC0522244096218E75713B4C406EA301BC052224400938842A353B4C406EA301BC05222440EE42739D463A4C40
Dronningborg Lystbådehavn,0103000020E6100000010000000600000098A25C1ABF282440CFF753E3A53B4C4098A25C1ABF2824402368CC24EA3B4C404582A966D62A24402368CC24EA3B4C404582A966D62A2440CFF753E3A53B4C40F581E49D43292440CFF753E3A53B4C4098A25C1ABF282440CFF753E3A53B4C40
Mellerup Lystbådehavn,0103000020E6100000010000000600000051C1E10511712440894160E5D0424C4051C1E105117124401DE736E15E434C409CF86A47717624401DE736E15E434C409CF86A4771762440894160E5D0424C4024D06053E7712440894160E5D0424C4051C1E10511712440894160E5D0424C40
Mariager Lystbådehavn,0103000020E610000001000000060000002EE6E786A6F423400FBA84436F534C402EE6E786A6F423407FF78E1A13544C407F6ABC7493F823407FF78E1A13544C407F6ABC7493F823400FBA84436F534C40D7DCD1FF72F523400FBA84436F534C402EE6E786A6F423400FBA84436F534C40
Udbyhøj Lystbådehavne,0103000020E610000001000000060000002E3A596ABD9724401900AAB8714D4C402E3A596ABD9724406058FE7C5B4E4C40AB251DE5609E24406058FE7C5B4E4C40AB251DE5609E24401900AAB8714D4C406EA296E6569824401900AAB8714D4C402E3A596ABD9724401900AAB8714D4C40
Bønnerup Havn,0103000020E610000001000000060000002C4A09C1AA6A25409C51F355F2434C402C4A09C1AA6A254052B5DD04DF444C40D4F02DAC1B6F254052B5DD04DF444C40D4F02DAC1B6F25409C51F355F2434C40E2033BFE0B6C25409C51F355F2434C402C4A09C1AA6A25409C51F355F2434C40
Studstrupværket,0103000020E61000000100000008000000BBED42739DB6244050E449D2351F4C40E34F5436ACB1244050E449D2351F4C40E34F5436ACB124407DAEB6627F1F4C40AE47E17A14AE24407DAEB6627F1F4C40AE47E17A14AE2440062AE3DF67204C40BBED42739DB62440062AE3DF67204C40BBED42739DB62440C1560916871F4C40BBED42739DB6244050E449D2351F4C40
Kaløvig Bådehavn,0103000020E61000000100000007000000E34F5436ACB124407DAEB6627F1F4C40E34F5436ACB12440904FC8CEDB1E4C407558E1968FAC2440904FC8CEDB1E4C407558E1968FAC244047904AB1A31F4C40AE47E17A14AE244047904AB1A31F4C40AE47E17A14AE2440A60D87A5811F4C40E34F5436ACB124407DAEB6627F1F4C40
Nappedam Lystbådehavn,0103000020E6100000010000000600000043572250FDFB24402506819543234C4043572250FDFB2440E4326E6AA0234C401F85EB51B8FE2440E4326E6AA0234C401F85EB51B8FE24402506819543234C4022718FA50FFD24402506819543234C4043572250FDFB24402506819543234C40
